Novads/republikas pilsēta,Iestādes reģistrācijas Nr.,Iestādes nosaukums,Pakļautība,Iestādes veids,Iestādes tips,Tālrunis,E-pasts,Adrese,Direktors,Bērnu skaits vecumā līdz 5 gadu vecumam,Bērnu skaits vecumā 5 gadi un vairāk
RĪGA,3801802807,"Privātā pirmsskola ""Attīstības studija ""Bambino""""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,26704132,bambino@montesoripardaugava.lv,"NOMETŅU IELA 21, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1048",DACE GRAUDIŅA,38,24
RĪGA,3801802838,"Privātā pirmsskolas izglītības iestāde ""Bizbizmārīte""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,25654800,info.bizbizmarite@gmail.com,"BIŠU IELA 20, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1002",IEVA ANDERSONE,23,5
RĪGA,3801802894,"Pirmsskolas izglītības iestāde ""Mazais brīnumiņš""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,27704951,info@rimako.lv,"BĀRTAS IELA 9, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1046",GAĻINA KLEMENTJEVA,9,0
RĪGA,3801802938,"Privātā pirmsskolas izglītības iestāde ""Kāpēcītis""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29481960,sia.kapecitis@inbox.lv,"LESTENES IELA 12B, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1002",RUDĪTE ZARIŅA,11,0
RĪGA,3801802993,"Privātā pirmsskolas izglītības iestāde ""Maza Rasiņa""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29678317,kuku41@inbox.lv,"KALNCIEMA IELA 141, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1046",TATJANA STROKA,50,22
RĪGA,3801802994,"Privātā pirmsskolas izglītības iestāde ""Mazulītis Rū""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67610683,riga@mazulitisru.lv,"ZEMĪTES IELA 6A, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1002",LINDA MEIERE,181,58
RĪGA,3801803010,"Privātā pirmsskolas izglītības iestāde ""Dimantiņi""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,27740723,dimantini@dimantini.lv,"MAZĀ NOMETŅU IELA 47, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1002",KRISTĪNA ANTĀNE,13,0
RĪGA,3801803020,"Privātā pirmsskolas izglītības iestāde ""Saulainie Austriņi""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29548991,saulainieaustrini@inbox.lv,"VIENĪBAS GATVE 109, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1058",INGA AUSTRIŅA-ZAVADSKA,18,0
RĪGA,3801803023,"Privātā pirmsskolas izglītības iestāde ""Kāpēcīšu Skoliņa""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29584844,kapecisuskolina@inbox.lv,"BAUSKAS IELA 146, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1004",VIVITA ZEIĻUKA-PUTENE,46,0
RĪGA,3801803056,"Privātā pirmsskolas izglītības iestāde ""Burtu pasaulīte""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67316566,sarma.dreimane@inbox.lv,"BAUSKAS IELA 88, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1004",SARMA DREIMANE,18,0
RĪGA,3801803061,"Privātā pirmsskolas izglītības iestāde ""Laumiņas rezidence""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,27875559,rezidence@lauminas-rezidence.lv,"APUZES IELA 34A, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1046",GINTA UPENIECE,121,1
RĪGA,3801803117,"Privātā pirmsskolas izglītības iestāde ""Pepijas skoliņa""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29588352,kristinestraume@inbox.lv,"ĶEMERU IELA 5 - 1, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1046",KRISTĪNE STRAUME,30,0
RĪGA,3801803234,Montesori pirmsskolas izglītības iestāde Krāsainās Pērles,Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,26197316,andersone.sigita@gmail.com,"SKAISTKALNES IELA 15, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1004",,20,11
RĪGA,3801901429,Rīgas Ziepniekkalna pirmsskola,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"26137294, 26170472, 67848214, 67848215, 67848216",rziepnie@riga.lv,"SVĒTES IELA 7, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1058",ILGA LUSTE-MARKUS,67,86
RĪGA,3801901654,"Rīgas 209. pirmsskolas izglītības iestāde ""Bitīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848506, 67848505",rpiibiti@riga.lv,"BIŠU IELA 5, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1002",ELITA MILLERE,53,56
RĪGA,3801901663,Rīgas 27. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67848192,r27pii@riga.lv,"STENDES IELA 4, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1046",EGIJA LESKAVNIECE,78,77
RĪGA,3801901688,"Rīgas 149. pirmsskolas izglītības iestāde ""Saulīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848404, 67848403",r149saul@riga.lv,"BIEŠU IELA 2A , ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1004",IRĒNA MARINSKA,56,59
RĪGA,3801901689,"Rīgas 272. pirmsskolas izglītības iestāde ""Pērlīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67848407,rpiiperl@riga.lv,"JELGAVAS IELA 86A, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1004",VITA ANDZENA,107,117
RĪGA,3801901833,"Rīgas 13. pirmsskolas izglītības iestāde ""Ābecītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67848398,r13pii@riga.lv,"ALTONAVAS IELA 1, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1004",ANTRA VILCĀNE,45,82
RĪGA,3801901834,"Rīgas 275. pirmsskolas izglītības iestāde ""Austriņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848607, 67848608, 67848609, 67848871",rpiiaust@riga.lv,"DIŽOZOLU IELA 6, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1058",RAMONA VANAGA,205,241
RĪGA,3801901835,Rīgas Zolitūdes pirmsskola,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848500, 67848499, 67848501",rzolitud@riga.lv,"IMANTAS 18. LĪNIJA 3A, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1029",RITA MISĒVIČA,112,104
RĪGA,3801901843,"Rīgas 264. pirmsskolas izglītības iestāde ""Zelta atslēdziņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848496, 67848497, 67848498, 26172315, 26145730",r264pii@riga.lv,"IMANTAS 18. LĪNIJA 1, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1029",NATAĻJA STAŅIŠEVSKA,89,117
RĪGA,3801901857,"Rīgas pirmsskolas izglītības iestāde ""Daugaviņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848600, 25417985",rpiidaug@riga.lv,"KUKŠU IELA 5, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1046",LUDMILA MIŠUŅKINA,49,35
RĪGA,3801901863,"Rīgas 132. pirmsskolas izglītības iestāde ""Ieviņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848490, 67848491, 67848492",rpiiievi@riga.lv,"VENTSPILS IELA 13A, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1002",ANITA IVAŅKOVA,38,46
RĪGA,3801901869,"Rīgas pirmsskolas izglītības iestāde ""Vadakstīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848204, 67848202",rpiivada@riga.lv,"VADAKSTES IELA 16, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1058",SOLVEIGA PĒKA,49,59
RĪGA,3801901887,"Rīgas 141. pirmsskolas izglītības iestāde ""Kastanītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848260, 67848259, 67848261",rpiikast@riga.lv,"STĒRSTU IELA 19, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1004",JEĻENA JEFIMOVA,58,47
RĪGA,3801901889,"Rīgas 124. pirmsskolas izglītības iestāde ""Dzērvenīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848401, 67848402, 67848400, 26176012",rpiidzer@riga.lv,"BĒRZUPES IELA 3, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1004",EDĪTE KIRIĻINA,43,58
RĪGA,3801901890,Rīgas Pārdaugavas pirmsskola,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67848409,rpardaug@riga.lv,"ZVĀRDES IELA 17, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1004",LIGITA GULBE,3,0
RĪGA,3801901972,"Rīgas 4. pirmsskolas izglītības iestāde ""Avotiņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848152, 25412105",rpiiavot@riga.lv,"ĪSLĪCES IELA 10, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1058",SANTA AVOTIŅA,103,112
RĪGA,3801902009,Rīgas Āgenskalna pirmsskola,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848510, 67848509, 67848508, 25427224",rap@riga.lv,"CIECERES IELA 3, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1002",VITA ELERTE,31,49
RĪGA,3801902673,"Rīgas pirmsskolas izglītības iestāde ""Sprīdītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848493, 67848494, 67848495",rpiispriditis@riga.lv,"PĀRSLAS IELA 16, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1002",LIENE KOZLOVSKA,42,59
RĪGA,3801902711,"Rīgas pirmsskolas izglītības iestāde ""Zvaniņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848503, 67848502",rpiizvanins@riga.lv,"IMANTAS 18. LĪNIJA 5A, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1029",SVETLANA GIMBURŽEVSKA,89,126
RĪGA,3801903372,"Rīgas pirmsskolas izglītības iestāde ""Ligzdiņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,26802713,rpiiligzdina@riga.lv,"APUZES IELA 74, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1029",ANITRA MEIERE,38,2
RĪGA,3901802736,"Privātā pirmsskolas izglītības iestāde ""MAZĀ PUPA""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29124090,info@mazapupa.lv,"LIMBAŽU IELA 4, ZIEMEĻU RAJONS, RĪGA, LV-1005",AIJA LEJIŅA,61,17
RĪGA,3901802914,"Privātā pirmsskolas izglītības iestāde ""Montesori puķu dārzs""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"29400188, 29117609",zane@montesori.lv,"ELIZABETES IELA 8 - 6, ZIEMEĻU RAJONS, RĪGA, LV-1010",VITA GRAUDIŅA,10,12
RĪGA,3901802936,"Privātā pirmsskolas izglītības iestāde ""Raibā pupa""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,28646644,info@raibapupa.lv,"EMMAS IELA 19 - 44, ZIEMEĻU RAJONS, RĪGA, LV-1015",VALIJA JASULAŅECA,52,0
RĪGA,3901802990,"Pirmsskolas izglītības iestāde ""Protu protu""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,26181375,ivinke@inbox.lv,"KATRĪNAS IELA 2 - 3, ZIEMEĻU RAJONS, RĪGA, LV-1045",,60,1
RĪGA,3901803077,"Privātā pirmsskolas izglītības iestāde ""Six Senses International Preschool""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,25133508,riga@6sensesinternational.com,"VISBIJAS PROSPEKTS 47, ZIEMEĻU RAJONS, RĪGA, LV-1014",JŪLIJA KOVAĻOVA,20,8
RĪGA,3901803086,"Privātā pirmsskolas izglītības iestāde ""Meža pasaka"" ",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29376125,info.skaska@inbox.lv,"KOKNESES PROSPEKTS 15 - 1, ZIEMEĻU RAJONS, RĪGA, LV-1014",TATJANA MIKĀNE,9,0
RĪGA,3901803096,"Privātā pirmsskolas izglītības iestāde ""Saules Dārzs Mežaparkā""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,20215853,mezaparka.saule@gmail.com,"MEŽA PROSPEKTS 30, ZIEMEĻU RAJONS, RĪGA, LV-1014",IEVA BRICE,25,3
RĪGA,3901803244,"Privātā pirmsskolas izglītības iestāde ""Mazā Raibā Pupa""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,28646644,info@raibapupa.lv,"EMMAS IELA 19 - 44, ZIEMEĻU RAJONS, RĪGA, LV-1015",,47,0
RĪGA,3901803264,"Privātā pirmsskolas izglītības iestāde ""Elma""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,26144193,dacesm@inbox.lv,"RŪPNIECĪBAS IELA 21 K-2 - 17, ZIEMEĻU RAJONS, RĪGA, LV-1045",,49,2
RĪGA,3901803351,"Privātā pirmsskolas izglītības iestāde ""MĀMIŅU KLUBA BĒRNUDĀRZS""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67350750, 29730785",sandra.livmane@maminuklubs.lv,"VĪLANDES IELA 1 - 2, ZIEMEĻU RAJONS, RĪGA, LV-1010",,27,0
RĪGA,3901901664,Rīgas 223. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67848440,r223pii@riga.lv,"APTIEKAS IELA 12, ZIEMEĻU RAJONS, RĪGA, LV-1005",RITA PINDUSA,45,65
RĪGA,3901901666,Rīgas 42. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848436, 67848437, 67848438, 67848715",r42pii@riga.lv,"SOFIJAS IELA 3, ZIEMEĻU RAJONS, RĪGA, LV-1005",TATJANA ANCĀNE,66,60
RĪGA,3901901667,"Rīgas 5. pirmsskolas izglītības iestāde ""Čiekuriņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848193, 67848194, 67848195, 25423046",rpiiciek@riga.lv,"GAUJAS IELA 32b, ZIEMEĻU RAJONS, RĪGA, LV-1026",JANA BERGMANE,38,63
RĪGA,3901901668,"Rīgas pirmsskolas izglītības iestāde ""Viršu dārzs""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848371, 67848370, 67848372",rpiivd@riga.lv,"CIMZES IELA 3, ZIEMEĻU RAJONS, RĪGA, LV-1014",DINA GAIDE,21,63
RĪGA,3901901669,"Rīgas 21. pirmsskolas izglītības iestāde ""Laimiņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848445, 67848446, 67848447",rpiilaim@riga.lv,"KALNGALES IELA 2, ZIEMEĻU RAJONS, RĪGA, LV-1015",DAIGA RUBENE,70,59
RĪGA,3901901680,"Rīgas 135. pirmsskolas izglītības iestāde ""Liepziediņi""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848160, 67848161, 67848162",r135pii@riga.lv,"ČIEKURKALNA 1. LĪNIJA 53A, ZIEMEĻU RAJONS, RĪGA, LV-1026",IRĒNA DAUGERTE,52,56
RĪGA,3901901700,"Rīgas pirmsskolas izglītības iestāde ""Liepiņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67848597,rpiiliep@riga.lv,"VIESTURA PROSPEKTS 29, ZIEMEĻU RAJONS, RĪGA, LV-1005",OLGA BAHMANE,72,46
RĪGA,3901901701,Rīgas 169. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848442, 67848444",r169pii@riga.lv,"VIESTURA PROSPEKTS 27, ZIEMEĻU RAJONS, RĪGA, LV-1005",VIJA BELOZEROVA,197,120
RĪGA,3901901702,Rīgas 161. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848587, 67848586, 67848588",r161pii@riga.lv,"AUGUSTA DOMBROVSKA IELA 9C, ZIEMEĻU RAJONS, RĪGA, LV-1015",VALENTĪNA SENATOROVA,61,49
RĪGA,3901901703,Rīgas 232. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848451, 67848452, 67848453",r232pii@riga.lv,"AUGUSTA DOMBROVSKA IELA 87, ZIEMEĻU RAJONS, RĪGA, LV-1015",BROŅISLAVA GORNAKA,120,58
RĪGA,3901901742,Rīgas 192. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848368, 67848367, 67848369 ",r192pii@riga.lv,"KĀRĻA VATSONA IELA 11A, ZIEMEĻU RAJONS, RĪGA, LV-1014",LUDMILA GORDEJEVA,51,44
RĪGA,3901901755,Rīgas 36. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848255, 25429577",r36pii@riga.lv,"LUGAŽU IELA 8, ZIEMEĻU RAJONS, RĪGA, LV-1045",IVETA VITKOVSKA,43,34
RĪGA,3901901866,Rīgas 15. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67848263,r15pii@riga.lv,"GAILEŅU IELA 5, ZIEMEĻU RAJONS, RĪGA, LV-1023",AIJA LĀCE,67,34
RĪGA,3901901911,Rīgas 110. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848448, 67848449, 67848450",r110pii@riga.lv,"BALTĀSBAZNĪCAS IELA 29, ZIEMEĻU RAJONS, RĪGA, LV-1015",VALENTĪNA HUDJAKOVA,113,90
RĪGA,3901901971,"Rīgas pirmsskolas izglītības iestāde ""Ābelīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67848455,rpiiabel@riga.lv,"KATRĪNAS IELA 5A, ZIEMEĻU RAJONS, RĪGA, LV-1045",DZIDRA VIRKSTIŅA,34,52
RĪGA,3901902007,"Rīgas pirmsskolas izglītības iestāde ""Rūķītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848604, 67848605, 67848606",r247pii@riga.lv,"VECMĪLGRĀVJA 1. LĪNIJA 41, ZIEMEĻU RAJONS, RĪGA, LV-1015",MARITA ĶIRKUMA,97,77
RĪGA,3901902657,"Rīgas pirmsskolas izglītības iestāde ""Blāzmiņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848569, 67848570, 67848568",rpiiblazmina@riga.lv,"SKUJU IELA 14, ZIEMEĻU RAJONS, RĪGA, LV-1015",DACE SKUJA,133,78
RĪGA,3901903307,"Rīgas pirmsskolas izglītības iestāde ""Pienenītes""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67848584,rpiipienen@riga.lv,"MORES IELA 8, ZIEMEĻU RAJONS, RĪGA, LV-1034",JEĻENA ABAŠEVA,89,92
RĪGA,3901903397,"Rīgas pirmsskolas izglītības iestāde ""Mežaparks""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67848364, 67848365, 67848366",rpiimeza@riga.lv,"STOKHOLMAS IELA 3A, ZIEMEĻU RAJONS, RĪGA, LV-1014",AIJA SUSEJA,107,42
RĪGA,4301802975,"Privātā pirmsskolas izglītības iestāde ""Saules Dārzs""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,22322476,saulesdarzs@katesskola.lv,"AKMEŅU IELA 18 - 18, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1048",SANTA PURVIŅA,14,2
ROJAS NOVADS,4101901938,"Rojas pirmsskolas izglītības iestāde ""Zelta zivtiņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63260291,zeltazivtina@roja.lv,"TALSU IELA 16, ROJA, ROJAS NOVADS, LV-3264",IVETA PASTORE,46,14
ROJAS NOVADS,4101902705,"Rojupes pirmsskolas izglītības iestāde ""SAULESPUĶE""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63269046,saulespuke@roja.lv,"""Rojupes PII ""Saulespuķe"""", RUDE, ROJAS NOVADS, LV-3264",LINDA KLEINBERGA,23,17
ROPAŽU NOVADS,4301901871,"Ropažu novada pašvaldības pirmsskolas izglītības iestāde ""Annele""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67918446,pii_annele@ropazi.lv,"CENTRA IELA 4, ROPAŽI, ROPAŽU NOVADS, LV-2135",ANDA KALNIŅA,122,91
RUCAVAS NOVADS,4101901773,"Rucavas pirmsskolas izglītības iestāde ""Zvaniņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63467007,rucavazvanins@inbox.lv,"""Zvaniņš"", RUCAVA, RUCAVAS PAGASTS, RUCAVAS NOVADS, LV-3477",LĪGA JAUNZEME,18,17
RUNDĀLES NOVADS,4501901907,"Rundāles novada pirmsskolas izglītības iestāde ""Mārpuķīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63921810,pii.marpukite@rundale.lv,"Mārpuķītes, SAULAINE, RUNDĀLES PAGASTS, RUNDĀLES NOVADS, LV-3901",JUDĪTE ZELTIŅA,74,45
RUNDĀLES NOVADS,4501903366,"Rundāles novada pirmsskolas izglītības iestāde ""Saulespuķe""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63926690,pii.saiulespuke@rundale.lv,"""Pilsrundāle 1"", PILSRUNDĀLE, RUNDĀLES PAGASTS, RUNDĀLES NOVADS, LV-3921",AGNESE ČAKŠA,24,43
RŪJIENAS NOVADS,4401903382,"Rūjienas pirmsskolas izglītības iestāde ""Vārpiņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,26429411,varpina@rujiena.lv,"DĀRZA IELA 8, RŪJIENA, RŪJIENAS NOVADS, LV-4240",LILITA ROMANOVSKA,153,83
SALACGRĪVAS NOVADS,4301900538,"Pirmsskolas izglītības iestāde ""Vilnītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64041839,salacgrivavilnitis@salacgriva.lv,"PĒRNAVAS IELA 29, SALACGRĪVA, SALACGRĪVAS NOVADS, LV-4033",DACE VILEMSONE,88,70
SALAS NOVADS,4501901635,"Salas novada pašvaldības pirmsskolas izglītības iestāde ""Ābelīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"65237788, 26312637",piiabelite@inbox.lv,"KALNA IELA 3, SALA, SALAS PAGASTS, SALAS NOVADS, LV-5230",INGA PASTARE,77,59
SALASPILS NOVADS,4301803231,"Privātā Pirmsskolas izglītības iestāde ""Lācīša namiņš""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"26421685, 24429700",lacisanamins@gmail.com,"SKOLAS IELA 11, SALASPILS, SALASPILS NOVADS, LV-2121",VIOLETA JUDINA,41,0
SALASPILS NOVADS,4301901674,"Salaspils novada pašvaldības pirmsskolas izglītības iestāde ""Ritenītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"62303278, 29466744",anna.kavasa@salaspils.lv,"RĪGAS IELA 10, SALASPILS, SALASPILS NOVADS, LV-2121",JŪLIJA IVANOVA,120,125
SALASPILS NOVADS,4301901675,"Salaspils novada pašvaldības pirmsskolas izglītības iestāde ""Saime""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67944270, 67944269",pii.saime@salaspils.lv,"MIERA IELA 16 k-9, SALASPILS, SALASPILS NOVADS, LV-2169",LILITA UKAVICA,61,78
SALASPILS NOVADS,4301901677,"Salaspils novada pašvaldības pirmsskolas izglītības iestāde ""Daugaviņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67948030, 26437044 ",pii.daugavina@salaspils.lv,"ZVEJNIEKU IELA 10, SAULKALNE, SALASPILS PAGASTS, SALASPILS NOVADS, LV-2117",INGA ĢĒĢERE,87,38
SALASPILS NOVADS,4301902662,"Salaspils novada pašvaldības pirmsskolas izglītības iestāde ""Salaspils 1.pirmsskola""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67942682,1.pirmsskola@salaspils.lv,"ENERĢĒTIĶU IELA 4B, SALASPILS, SALASPILS NOVADS, LV-2121",EVITA BEĻSKA,238,271
SALASPILS NOVADS,4301902781,"Salaspils novada pašvaldības pirmsskolas izglītības iestāde ""Atvasīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67981040, 67980020",daiga.lacgalve@salaspils.lv,"MEŽA IELA 6, SALASPILS, SALASPILS NOVADS, LV-2169",DAIGA LĀČGALVE,67,72
SALDUS NOVADS,4101900629,"Saldus pirmsskolas izglītības iestāde ""Zīlīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"63823848, 63823260",zilite@saldus.lv,"RĪGAS IELA 17, SALDUS, SALDUS NOVADS, LV-3801",ZINTA BĒRANTE,65,47
