Nosaukums,Reģistrācijas numurs,Juridiskais status,Vadītājs,Filiāļu skaits,Strukturvienību skaits,Veids,Tips,Faktiskais dibinātājs,Deklarētais dibinātājs,Likvidēta,Adrese,Tālrunis,E-pasts
"Sabiles pamatskola","4112903179","Pastarpinātās pārvaldes iestāde","RUDĪTE BLĀZE",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Talsu novada Dome","Talsu novada Dome",Nē,"VENTSPILS IELA 17a, SABILE, TALSU NOVADS, LV-3294","63232301, 63232302","sabilespamatskola@talsi.lv"
"Sabiles pirmskolas izglītības iestāde ""Vīnodziņa""","4101901986","Pastarpinātās pārvaldes iestāde","ZANE CĪRULE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Talsu novada Dome","Talsu novada Dome",Nē,"VENTSPILS IELA 10, SABILE, TALSU NOVADS, LV-3294","63252230","sabilespiivinodzina@talsi.lv"
"Sakstagala Jāņa Klīdzēja pamatskola","4212901167","Pastarpinātās pārvaldes iestāde","SILVIJA FREIBERGA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Rēzeknes novada pašvaldība ","Rēzeknes novada pašvaldība ",Nē,"SKOLAS IELA 13, CIUKORI, SAKSTAGALA PAGASTS, RĒZEKNES NOVADS, LV-4638","64640547","sakstagals@saskarsme.lv"
"Sākumskola ""Ābelīte""","2911901386","Pastarpinātās pārvaldes iestāde","NATĀLIJA ZARĀNE",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā sākumskola","Jūrmalas pilsētas Dome","Jūrmalas pilsētas Dome",Nē,"PLŪDU IELA 4A, JŪRMALA, LV-2015","67811174","sskabelite@edu.jurmala.lv"
"Sākumskola ""Lielie stāsti""","3611803294","Komercsabiedrības struktūrvienība","INGŪNA MIKUDA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā sākumskola","Sabiedrība ar ierobežotu atbildību ""Darbīgās rociņas""","Sabiedrība ar ierobežotu atbildību ""Darbīgās rociņas""",Nē,"STABU IELA 63, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1011","+37129188332","lieliestasti@gmail.com"
"Sākumskola ""Montessori māja""","3811803410","Biedrības struktūrvienība","ŅINA STEPANOVA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā sākumskola","Biedrība ""Montessori māja""","Biedrība ""Montessori māja""",Nē,"EDUARDA SMIĻĢA IELA 14 - 6, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1002","29450636","nina.stepanova@gmail.com"
"Salacgrīvas Mākslas skola","4375902418","Pastarpinātās pārvaldes iestāde","IMANTS KLĪDZĒJS",0,0,"Profesionālās ievirzes izglītības iestāde","Mākslas skola","Salacgrīvas novada Dome","Salacgrīvas novada Dome",Nē,"PĒRNAVAS IELA 29, SALACGRĪVA, SALACGRĪVAS NOVADS, LV-4033","64071973","dome@salacgriva.lv"
"Salacgrīvas novada Mūzikas skola","4376902326","Pastarpinātās pārvaldes iestāde","KATRĪNA BOROZDINA",0,0,"Profesionālās ievirzes izglītības iestāde","Mūzikas skola","Salacgrīvas novada Dome","Salacgrīvas novada Dome",Nē,"PĒRNAVAS IELA 29, SALACGRĪVA, SALACGRĪVAS NOVADS, LV-4033","64041867","muzikasskola@salacgriva.lv"
"Salacgrīvas vidusskola","4313900159","Pastarpinātās pārvaldes iestāde","SANITA ŠLEKONE",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Salacgrīvas novada Dome","Salacgrīvas novada Dome",Nē,"PĒRNAVAS IELA 31, SALACGRĪVA, SALACGRĪVAS NOVADS, LV-4033","64023060, 64023064","skola@salacgrivasvsk.lv"
"Salas novada pašvaldības pirmsskolas izglītības iestāde ""Ābelīte""","4501901635","Pastarpinātās pārvaldes iestāde","INGA PASTARE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Salas novada pašvaldība","Salas novada pašvaldība",Nē,"KALNA IELA 3, SALA, SALAS PAGASTS, SALAS NOVADS, LV-5230","65237788, 26312637","piiabelite@inbox.lv"
"Salas pamatskola","4212900370","Pastarpinātās pārvaldes iestāde","ANITA VJAKSE",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Preiļu novada Dome","Preiļu novada Dome",Nē,"Salas pamatskola, SMELTERI, SAUNAS PAGASTS, PREIĻU NOVADS, LV-5326","65326400","salaspsk@preili.lv"
"Salas vidusskola","4513900261","Pastarpinātās pārvaldes iestāde","SANITA MADALĀNE",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Salas novada pašvaldība","Salas novada pašvaldība",Nē,"SKOLAS IELA 3, SALA, SALAS PAGASTS, SALAS NOVADS, LV-5230","25478051, 65237780, 65237781","admin@salas.lv"
"Salaspils novada pašvaldības iestāde ""Salaspils 1. vidusskola""","4313901008","Pastarpinātās pārvaldes iestāde","VERA KALNIŅA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Salaspils novada pašvaldība","Salaspils novada Dome",Nē,"LAUKU IELA 1, SALASPILS, SALASPILS NOVADS, LV-2121","67947253, 67946814","skola@s1vsk.lv"
"Salaspils novada pašvaldības iestāde ""Salaspils 2. vidusskola""","4313901092","Pastarpinātās pārvaldes iestāde","VENERANDA BOGDĀNE",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Salaspils novada pašvaldība","Salaspils novada Dome",Nē,"SKOLAS IELA 6, SALASPILS, SALASPILS NOVADS, LV-2121","67947009, 67940950","skola@vsk2.salaspils.lv"
"Salaspils novada pašvaldības iestāde ""Salaspils Mūzikas un mākslas skola""","4374902293","Pastarpinātās pārvaldes iestāde","RŪTA BUGAVIČUTE",0,0,"Profesionālās ievirzes izglītības iestāde","Mūzikas un mākslas skola","Salaspils novada pašvaldība","Salaspils novada Dome",Nē,"LĪVZEMES IELA 9, SALASPILS, SALASPILS NOVADS, LV-2169","67941605","muzikas.skola@salaspils.lv"
"Salaspils novada pašvaldības izglītības iestāde ""Salaspils sporta skola""","4371902424","Pastarpinātās pārvaldes iestāde","ANITA TRUMPE",0,0,"Profesionālās ievirzes izglītības iestāde","Sporta skola","Salaspils novada pašvaldība","Salaspils novada Dome",Nē,"LĪVZEMES IELA 22, SALASPILS, SALASPILS NOVADS, LV-2169","67943119, 67943115","sporta.skola@salaspils.lv"
"Salaspils novada pašvaldības pirmsskolas izglītības iestāde ""Atvasīte""","4301902781","Pastarpinātās pārvaldes iestāde","DAIGA LĀČGALVE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Salaspils novada pašvaldība","Salaspils novada Dome",Nē,"MEŽA IELA 6, SALASPILS, SALASPILS NOVADS, LV-2169","67981040, 67980020","daiga.lacgalve@salaspils.lv"
"Salaspils novada pašvaldības pirmsskolas izglītības iestāde ""Daugaviņa""","4301901677","Pastarpinātās pārvaldes iestāde","INGA ĢĒĢERE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Salaspils novada pašvaldība","Salaspils novada Dome",Nē,"ZVEJNIEKU IELA 10, SAULKALNE, SALASPILS PAGASTS, SALASPILS NOVADS, LV-2117","67948030, 26437044 ","pii.daugavina@salaspils.lv"
"Salaspils novada pašvaldības pirmsskolas izglītības iestāde ""Ritenītis""","4301901674","Pastarpinātās pārvaldes iestāde","JŪLIJA IVANOVA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Salaspils novada pašvaldība","Salaspils novada Dome",Nē,"RĪGAS IELA 10, SALASPILS, SALASPILS NOVADS, LV-2121","62303278","pii.ritenitis@salaspils.lv"
"Salaspils novada pašvaldības pirmsskolas izglītības iestāde ""Saime""","4301901675","Pastarpinātās pārvaldes iestāde","LILITA UKAVICA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Salaspils novada pašvaldība","Salaspils novada Dome",Nē,"MIERA IELA 16 k-9, SALASPILS, SALASPILS NOVADS, LV-2169","67944270, 67944269","pii.saime@salaspils.lv"
"Salaspils novada pašvaldības pirmsskolas izglītības iestāde ""Salaspils 1.pirmsskola""","4301902662","Pastarpinātās pārvaldes iestāde","EVITA BEĻSKA",0,2,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Salaspils novada pašvaldība","Salaspils novada Dome",Nē,"ENERĢĒTIĶU IELA 4B, SALASPILS, SALASPILS NOVADS, LV-2121","67942682","1.pirmsskola@salaspils.lv"
"Saldus Bērnu un jaunatnes centrs","4151901912","Pastarpinātās pārvaldes iestāde","DACE VAĻKO",0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Saldus novada Dome","Saldus novada Dome",Nē,"LIELĀ IELA 3b, SALDUS, SALDUS NOVADS, LV-3801","63822115","dace.valko@saldus.lv"
"Saldus Mākslas skola","4175902170","Pastarpinātās pārvaldes iestāde","EVIKA ZABAROVSKA",0,0,"Profesionālās ievirzes izglītības iestāde","Mākslas skola","Saldus novada Dome","Saldus novada Dome",Nē,"AVOTU IELA 12A, SALDUS, SALDUS NOVADS, LV-3801","63822365","makslas.skola@saldus.lv"
"Saldus Mūzikas skola","4176902164","Pastarpinātās pārvaldes iestāde","MĀRTIŅŠ BĒRTULIS",0,0,"Profesionālās ievirzes izglītības iestāde","Mūzikas skola","Saldus novada Dome","Saldus novada Dome",Nē,"AVOTU IELA 12A, SALDUS, SALDUS NOVADS, LV-3801","26422658","saldus.muzikasskola@saldus.lv"
"Saldus novada pašvaldības Druvas vidusskola","4113900415","Pastarpinātās pārvaldes iestāde","SERGEJS BEĻKEVIČS",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Saldus novada Dome","Saldus novada Dome",Nē,"SKOLAS IELA 2, DRUVA, SALDUS PAGASTS, SALDUS NOVADS, LV-3862","63839440, 63839490","druvas.vidusskola@saldus.lv"
"Saldus novada pašvaldības Ezeres pamatskola","4112903134","Pastarpinātās pārvaldes iestāde","INITA VOLBERGA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Saldus novada Dome","Saldus novada Dome",Nē,"CENTRA IELA 5, EZERE, EZERES PAGASTS, SALDUS NOVADS, LV-3891","63842284","ezeres.pamatskola@saldus.lv"
"Saldus novada pašvaldības Jaunlutriņu sākumskola","4111903317","Pastarpinātās pārvaldes iestāde","DACE KALNIŅA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā sākumskola","Saldus novada Dome","Saldus novada Dome",Nē,"MUIŽAS IELA 1, JAUNLUTRIŅI, JAUNLUTRIŅU PAGASTS, SALDUS NOVADS, LV-3876","63846667","jaunlutrinu.sakumskola@saldus.lv"
"Saldus novada pašvaldības Lutriņu pamatskola","4112900012","Pastarpinātās pārvaldes iestāde","INGA VOROBJOVA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Saldus novada Dome","Saldus novada Dome",Nē,"SKOLAS IELA 1, LUTRIŅI, LUTRIŅU PAGASTS, SALDUS NOVADS, LV-3861","63831367","lutrinu.pamatskola@saldus.lv"
"Saldus novada pašvaldības Lutriņu pirmsskolas izglītības iestāde ""Kāpēcītis""","4101901615","Pastarpinātās pārvaldes iestāde","JANA JANSONE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Saldus novada Dome","Saldus novada Dome",Nē,"SKOLAS IELA 2, LUTRIŅI, LUTRIŅU PAGASTS, SALDUS NOVADS, LV-3861","63831308","kapecitis@saldus.lv"
"Saldus novada pašvaldības Nīgrandes pirmsskolas izglītības iestāde ""Straumīte""","4101902052","Pastarpinātās pārvaldes iestāde","GUNDA ULMANE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Saldus novada Dome","Saldus novada Dome",Nē,"BURTNIEKU IELA 2, NĪGRANDE, NĪGRANDES PAGASTS, SALDUS NOVADS, LV-3899","63865223","straumite@saldus.lv"
"Saldus novada pašvaldības Pampāļu sākumskola","4111903326","Pastarpinātās pārvaldes iestāde","INGRĪDA VANAGA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā sākumskola","Saldus novada Dome","Saldus novada Dome",Nē,"""Pumpuriņi"", PAMPĀĻI, PAMPĀĻU PAGASTS, SALDUS NOVADS, LV-3882","29428727","pampalu.sakumskola@saldus.lv"
"Saldus novada pašvaldības Rubas pamatskola","4112900627","Pastarpinātās pārvaldes iestāde","INITA VOLBERGA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Saldus novada Dome","Saldus novada Dome",Nē,"""Rubas pamatskola"", RUBAS PAGASTS, SALDUS NOVADS, LV-3894","63825665, 63825631","rubas.pamatskola@saldus.lv"
"Saldus novada pašvaldības Striķu sākumskola","4111903181","Pastarpinātās pārvaldes iestāde","DAINA ZANDBERGA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā sākumskola","Saldus novada Dome","Saldus novada Dome",Nē,"""Striķu skola"", ZVĀRDES PAGASTS, SALDUS NOVADS, LV-3883","26183753","striku.pamatskola@saldus.lv"
"Saldus novada pašvaldības Zirņu pamatskola","4112901264","Pastarpinātās pārvaldes iestāde","INESE KRAVCOVA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Saldus novada Dome","Saldus novada Dome",Nē,"""Zirņu pamatskola"", ZIRŅI, ZIRŅU PAGASTS, SALDUS NOVADS, LV-3853","25708741","zirnu.pamatskola@saldus.lv"
"Saldus pagasta pirmsskolas izglītības iestāde ""Graudiņš""","4101902000","Pastarpinātās pārvaldes iestāde","VITA VĪTOLA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Saldus novada Dome","Saldus novada Dome",Nē,"DĀRZA IELA 1, DRUVA, SALDUS PAGASTS, SALDUS NOVADS, LV-3862","63839431","graudins@saldus.lv"
"Saldus pamatskola","4112900014","Pastarpinātās pārvaldes iestāde","DACE BALANDĪNA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Saldus novada Dome","Saldus novada Dome",Nē,"LIELĀ IELA 31/35, SALDUS, SALDUS NOVADS, LV-3801","63821262","saldus.pamatskola@saldus.lv"
"Saldus pirmsskolas izglītības iestāde ""Īkstīte""","4101901601","Pastarpinātās pārvaldes iestāde","SANTA MEGNE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Saldus novada Dome","Saldus novada Dome",Nē,"BĒRZU ALEJA 16A, SALDUS, SALDUS NOVADS, LV-3801","63823296","ikstite@saldus.lv"
"Saldus pirmsskolas izglītības iestāde ""Pasaciņa""","4101901611","Pastarpinātās pārvaldes iestāde","ILZĪTE BULAVA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Saldus novada Dome","Saldus novada Dome",Nē,"VEIDENBAUMA IELA 2A, SALDUS, SALDUS NOVADS, LV-3801","63825509","pasacina@saldus.lv"
"Saldus pirmsskolas izglītības iestāde ""Sienāzītis""","4101901613","Pastarpinātās pārvaldes iestāde","VALDA TUBINA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Saldus novada Dome","Saldus novada Dome",Nē,"CELTNIEKU IELA 10, SALDUS, SALDUS NOVADS, LV-3801","63821144","sienazitis@saldus.lv"
"Saldus pirmsskolas izglītības iestāde ""Zīlīte""","4101900629","Pastarpinātās pārvaldes iestāde","ZINTA BĒRANTE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Saldus novada Dome","Saldus novada Dome",Nē,"RĪGAS IELA 17, SALDUS, SALDUS NOVADS, LV-3801","63823848, 63823260","zilite@saldus.lv"
"Saldus Sporta skola","4171902184","Pastarpinātās pārvaldes iestāde","MADARS ROGA",0,0,"Profesionālās ievirzes izglītības iestāde","Sporta skola","Saldus novada Dome","Saldus novada Dome",Nē,"JELGAVAS IELA 6, SALDUS, SALDUS NOVADS, LV-3801","63822065 63822001 63822000","sporta.skola@saldus.lv"
"Saldus tehnikums","4134003109","Valsts tiešās pārvaldes iestāde","IVETA BĒRZIŅA",0,0,"Profesionālās pamata un vidējās izglītības iestāde","Profesionālās izglītības kompetences centrs","Izglītības un zinātnes ministrija","Latvijas Republikas Ministru kabinets",Nē,"KALNSĒTAS IELA 24, SALDUS, SALDUS NOVADS, LV-3801","63807012, 22320309","info@saldustehnikums.lv"
"Saldus vidusskola","4113903122","Pastarpinātās pārvaldes iestāde","INGA MANKUS",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Saldus novada Dome","Saldus novada Dome",Nē,"J.Rozentāla iela 19, SALDUS, SALDUS NOVADS, LV-3801","63881007","saldus.vidusskola@saldus.lv"
"Salgales Mūzikas un mākslas skola","4574902966","Pastarpinātās pārvaldes iestāde","ANDA SILGAILE",0,0,"Profesionālās ievirzes izglītības iestāde","Mūzikas un mākslas skola","Ozolnieku novada Dome","Ozolnieku novada Dome",Nē,"""Vīgriezes"", EMBURGA, SALGALES PAGASTS, OZOLNIEKU NOVADS, LV-3045","63085665","salgales.ms@ozolnieki.lv"
"Salgales pamatskola","4512900852","Pastarpinātās pārvaldes iestāde","IRĒNA PAULOVIČA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Ozolnieku novada Dome","Ozolnieku novada Dome",Nē,"1. MAIJA IELA 9, EMBURGA, SALGALES PAGASTS, OZOLNIEKU NOVADS, LV-3045","63085743","salgalespsk@ozolnieki.lv"
"Salienas vidusskola","4213900512","Pastarpinātās pārvaldes iestāde","ANTOŅINA REDKOVA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Daugavpils novada Dome","Daugavpils novada Dome",Nē,"CENTRĀLES IELA 21, SALIENA, SALIENAS PAGASTS, DAUGAVPILS NOVADS, LV-5469","65475311","skola@saliena.lv"
"Salnavas pamatskola","4212900450","Pastarpinātās pārvaldes iestāde","SILVIJA GEIDĀNE",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Kārsavas novada pašvaldība","Kārsavas novada pašvaldība",Nē,"SKOLAS IELA 8, SALNAVA, SALNAVAS PAGASTS, KĀRSAVAS NOVADS, LV-5740","65726201","salnava.skola@karsava.lv"
"Saulkrastu pirmsskolas izglītības iestāde ""Rūķītis""","4301901862","Pastarpinātās pārvaldes iestāde","JANA BUKOVSKA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Saulkrastu novada pašvaldība","Saulkrastu novada Dome",Nē,"STIRNU IELA 23, SAULKRASTI, SAULKRASTU NOVADS, LV-2160","67952635","bernudarzs.rukitis@saulkrasti.lv"
"Saulkrastu vidusskola","4313901093","Pastarpinātās pārvaldes iestāde","VELTA KALNAKĀRKLE",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Saulkrastu novada pašvaldība","Saulkrastu novada Dome",Nē,"SMILŠU IELA 3, SAULKRASTI, SAULKRASTU NOVADS, LV-2160","67951638","saulkrastuvsk@inbox.lv"
"Seces pagasta pamatskola","4512900983","Pastarpinātās pārvaldes iestāde","SARMA STUGLE",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Jaunjelgavas novada dome","Jaunjelgavas novada Dome",Nē,"""Seces pamatskola"", SECE, SECES PAGASTS, JAUNJELGAVAS NOVADS, LV-5124","65129308","sarmastugle@inbox.lv"
"Seces pagasta pirmsskolas izglītības iestāde ""Vasariņa""","4501901714","Pastarpinātās pārvaldes iestāde","INESE RIBAKOVA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Jaunjelgavas novada dome","Jaunjelgavas novada Dome",Nē,"""Bērnudārzs Vasariņa"", SECE, SECES PAGASTS, JAUNJELGAVAS NOVADS, LV-5124","65129405","inese_vasarina@inbox.lv"
"Sējas Mūzikas un mākslas skola","4374902343","Pastarpinātās pārvaldes iestāde","IEVA LAPŠĀNE",0,0,"Profesionālās ievirzes izglītības iestāde","Mūzikas un mākslas skola","Sējas novada pašvaldība","Sējas novada Dome",Nē,"  ""Bitīte"", LOJA, SĒJAS NOVADS, LV-2142","67705174","maksla@seja.lv"
"Sējas novada pirmsskolas izglītības iestāde ""Bitīte""","4301901908","Pastarpinātās pārvaldes iestāde","INITA IEKĻAVA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Sējas novada pašvaldība","Sējas novada Dome",Nē,"  ""Bitīte"", LOJA, SĒJAS NOVADS, LV-2142","67148322","bitite@seja.lv"
"Sējas pamatskola","4312901114","Pastarpinātās pārvaldes iestāde","INESE OZOLNIECE",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Sējas novada pašvaldība","Sējas novada Dome",Nē,"""Sējas pamatskola"", LOJA, SĒJAS NOVADS, LV-2142","67977755, 67703155","skola@seja.lv"
"Sēlijas Sporta skola","4571902684","Pastarpinātās pārvaldes iestāde","JĀNIS OSIS",0,0,"Profesionālās ievirzes izglītības iestāde","Sporta skola","Viesītes novada pašvaldība","Viesītes novada pašvaldība",Nē,"SMILŠU IELA 39, VIESĪTE, VIESĪTES NOVADS, LV-5237","26531010","selijasss@inbox.lv"
"Sēmes sākumskola","4311900233","Pastarpinātās pārvaldes iestāde","NATĀLIJA LIEPIŅA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā sākumskola","Tukuma novada Dome","Tukuma novada Dome",Nē,"EZERA IELA 17, SĒME, SĒMES PAGASTS, TUKUMA NOVADS, LV-3110","26162549","semesskola@tukums.lv"
"Sesavas pamatskola","4512900848","Pastarpinātās pārvaldes iestāde","INĀRA NIKOLAJEVA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Jelgavas novada pašvaldība","Jelgavas novada pašvaldība",Nē,"SKOLAS IELA 1, SESAVA, SESAVAS PAGASTS, JELGAVAS NOVADS, LV-3034","63061698","sesavaspsk@jelgavasnovads.lv"
"SIA "" Veselības Centrs 4"" Podiatrijas skola","3360800322","Komercsabiedrības struktūrvienība",,0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","SIA ""Veselības Centrs 4""","SIA ""Veselības Centrs 4""",Nē,"BRĪVĪBAS GATVE 244/4, RĪGA, LV-1039","67551505","vc4@dynasty.lv"
"SIA ""537"" Mācību bāze","3360800818","Komercsabiedrības struktūrvienība",,0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","SIA ""537""","SIA ""537""",Nē,"TALLINAS IELA 70 - 48, RĪGA, LV-1009","29212813","sasp@inbox.lv"
"SIA ""ACTIVA MANAGEMENT""","3360800152","Komercsabiedrība",,0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","Natālija Belika, Mihails Džondžua","Natālija Belika, Mihails Džondžua",Nē,"ZEMITĀNA IELA 2B, RĪGA, LV-1012","67843815","iso@adros.lv"
"SIA ""ADA Plus"" Mācību centrs","2760800457","Komercsabiedrības struktūrvienība",,0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","SIA ""ADA Plus""","SIA ""ADA Plus""",Nē,"LĀČPLĒŠA IELA 30 - 4, DAUGAVPILS, LV-5401","65424211","info@adaplus.lv"
"SIA ""ALGUCHY"" Mācību centrs","3360800615","Komercsabiedrības struktūrvienība",,0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","SIA ""ALGUCHY""","SIA ""ALGUCHY""",Nē,"BRUŅINIEKU IELA 66, RĪGA, LV-1009","67291491, 27000133","crazynails@inbox.lv"
"SIA ""Altus Marketing & Training""","3260800891","Komercsabiedrība","EDIJS BRAUNERS",0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","Matīss Karabeško","Matīss Karabeško",Nē,"SARKANMUIŽAS DAMBIS 16 - 2, VENTSPILS, LV-3601","29211427","ebrauners@yahoo.co.uk"
"SIA ""ANNEX"" Mācību centrs ""LCN Studio""","3360800282","Komercsabiedrības struktūrvienība",,0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","SIA ""ANNEX""","SIA ""ANNEX""",Nē,"BAZNĪCAS IELA 20/22, RĪGA, LV-1010","67039830","annex@vide.lv"
"SIA ""ANNIRS""","3360800211","Komercsabiedrība",,0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","Anna Birka, Irina Belokurova","Anna Birka, Irina Belokurova",Nē,"PATVERSMES IELA 23, RĪGA, LV-1005","67393118",
"SIA ""AR studija""","3360800162","Komercsabiedrības struktūrvienība",,0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","Rimma Āboltiņa","Rimma Āboltiņa",Nē,"IERIĶU IELA 50 - 11, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1084","67540438, 29185101","ar_studija@inbox.lv"
"SIA ""Arimeks"" Mācību centrs","3360800400","Komercsabiedrības struktūrvienība",,0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""ARIMEKS""","Sabiedrība ar ierobežotu atbildību ""ARIMEKS""",Nē,"KRISTAPA IELA 16 - 53, RĪGA, LV-1046","67624997, 26428429","mc@arimeks.lv"
"SIA ""Aroda centrs""","3360800129","Komercsabiedrība","JEĻENA ŠEDJKO",0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","Svetlana Rožkina, Ligita Lapušinska, Jeļena Šedjko","Svetlana Rožkina, Ligita Lapušinska, Jeļena Šedjko",Nē,"KRĀSLAVAS IELA 12, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1003","26133975","arodac@inbox.lv"
"SIA ""ART DECO"" mācību centrs","3360800289","Komercsabiedrības struktūrvienība",,0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","SIA ""ART DECO""","SIA ""ART DECO""",Nē,"SLOKAS IELA 19 - 2, RĪGA, LV-1048","29227451","artdeco@zb.lv"
"SIA ""AS KURSI"" Izglītības studija","3360800612","Komercsabiedrības struktūrvienība",,0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","SIA ""AS KURSI"" ","SIA ""AS KURSI"" ",Nē,"CĒSU IELA 41 - 20, RĪGA, LV-1012","29160600","strautmane@navigator.lv"
"SIA ""AUTOAMATNIEKS""","4560800809","Komercsabiedrība",,0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","Andris Ansons","Andris Ansons",Nē,"GAURATA IELA 10, DOBELE, DOBELES NOVADS, LV-3701","63724467","autoamatnieks@inbox.lv"
"SIA ""AUTOPROFS""","1080801023","Komercsabiedrība","AIGA LEIKUMA",0,0,"Pieaugušo neformālās izglītības iestāde","Pieaugušo neformālās izglītības iestāde","Žanis Leikums, Ainārs Mežaraups, Valērijs Anufrijevs","Žanis Leikums, Ainārs Mežaraups, Valērijs Anufrijevs",Nē,"RĪGAS IELA 231 - 51, JĒKABPILS, LV-5202","65236523","info@autoprofs.lv"
