Nr. p. k.,Novads/republikas pilsēta,Iestādes reģistrācijas Nr.,Iestādes nosaukums,Pakļautība,Iestādes veids,Iestādes tips,Adrese,Epasts,Tālrunis,Direktors,Bērnu skaits pirmsskolas programmās,Izglītojamo skaits 1. - 12. klasē
263,KULDĪGAS NOVADS,4113901192,Kuldīgas Centra vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"MUCENIEKU IELA 6, KULDĪGA, KULDĪGAS NOVADS, LV-3301",kcv@inbox.lv,63323978,BRIGITA FREIJA,0,668
264,KULDĪGAS NOVADS,4113903238,V. Plūdoņa Kuldīgas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"PILTENES IELA 25, KULDĪGA, KULDĪGAS NOVADS, LV-3301",vpkvskola@kuldiga.lv,63322050,MĀRTIŅŠ BURKE-BURKEVICS,0,671
265,KULDĪGAS NOVADS,4124901177,Viduskurzemes pamatskola-attīstības centrs,Pašvaldība ,Speciālās izglītības iestāde,Internātskola - attīstības centrs,"""Saules stari"", PELČI, PELČU PAGASTS, KULDĪGAS NOVADS, LV-3322",pelci_sk@kuldiga.lv,"63326143, 63326138",INĀRA OĻENA,10,111
266,ĶEGUMA NOVADS,4312901328,Birzgales pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 1, BIRZGALE, BIRZGALES PAGASTS, ĶEGUMA NOVADS, LV-5033",birzg.skola@kegums.lv,65034137 65034107,VALENTĪNS PASTARS,0,93
267,ĶEGUMA NOVADS,4313900201,Ķeguma komercnovirziena vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SKOLAS IELA 10, ĶEGUMS, ĶEGUMA NOVADS, LV-5020",skola@kegumaskola.lv,65055275,VLADIMIRS SAMOHINS,0,356
268,ĶEKAVAS NOVADS,4311901108,Pļavniekkalna sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"PĻAVNIEKKALNA IELA 20, KATLAKALNS, ĶEKAVAS PAGASTS, ĶEKAVAS NOVADS, LV-2111",plavniekkalna.pamatskola@kekava.lv,67938862,AGITA BALTMANE,0,197
269,ĶEKAVAS NOVADS,4312802726,"Privātā pamatskola ""Gaismas tilts 97""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"NĀKOTNES IELA 3, ĶEKAVA, ĶEKAVAS PAGASTS, ĶEKAVAS NOVADS, LV-2123",gt97@gt97.lv,67937884,EGITA HEISLERE,63,138
270,ĶEKAVAS NOVADS,4312901117,Daugmales pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Skola"", DAUGMALES PAGASTS, ĶEKAVAS NOVADS, LV-2124",daugmales.pamatskola@kekava.lv,67957401 67957894,ANDRIS CEĻMALNIEKS,111,141
271,ĶEKAVAS NOVADS,4313901079,Ķekavas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"GAISMAS IELA 9, ĶEKAVA, ĶEKAVAS PAGASTS, ĶEKAVAS NOVADS, LV-2123",kekavas.vidusskola@kekava.lv,"67937196, 67937607",SANDRA PUGOVKA,0,1418
272,ĶEKAVAS NOVADS,4313902363,Baložu vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SKOLAS IELA 6, BALOŽI, ĶEKAVAS NOVADS, LV-2112",balozu.vidusskola@kekava.lv,67917725,VITA BROKA,48,768
273,LIELVĀRDES NOVADS,4312900195,Lielvārdes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"AVOTU IELA 2, LIELVĀRDE, LIELVĀRDES NOVADS, LV-5071",liepa@lielvarde.lv,65054036,ANDIS PĒTERSONS,84,305
274,LIELVĀRDES NOVADS,4312901329,Lēdmanes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Lēdmanes skola"", LĒDMANE, LĒDMANES PAGASTS, LIELVĀRDES NOVADS, LV-5011",skola-ledmane@inbox.lv,65058722,DACE MĀRTIŅA,50,95
275,LIELVĀRDES NOVADS,4312903236,Jumpravas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"OZOLU IELA 14, JUMPRAVA, JUMPRAVAS PAGASTS, LIELVĀRDES NOVADS, LV-5022",dace.klava@lielvarde.lv,29459218,DACE KĻAVA,75,130
276,LIELVĀRDES NOVADS,4313901694,Edgara Kauliņa Lielvārdes vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"GAISMAS IELA 17, LIELVĀRDE, LIELVĀRDES NOVADS, LV-5070",vidusskola@lielvarde.lv,65071840,AIVARS PEISENIEKS,0,488
277,LIELVĀRDES NOVADS,4322901056,Valdemāra pamatskola,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"""Valdemārskola"", JUMPRAVAS PAGASTS, LIELVĀRDES NOVADS, LV-5022",internatskola@lielvarde.lv,"65057648, 65057518, 65057568",BENITA LISOVSKA,0,49
278,LIEPĀJA,3011800081,"Privātsākumskola ""Varavīksne""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"REPUBLIKAS IELA 23, LIEPĀJA, LV-3401",privatsakumskola@apollo.lv,63426918,INGVILDA PARFJONOVA,45,38
279,LIEPĀJA,3011900940,Liepājas Ezerkrasta sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"LAUKU IELA 54, LIEPĀJA, LV-3411",ezerkrastassk@liepaja.edu.lv,63433871,DACE GEDROVIČA,0,333
280,LIEPĀJA,3011902612,Liepājas Centra sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"ULIHA IELA 33, LIEPĀJA, LV-3401",centrassk@liepaja.edu.lv,27874167,KRISTĪNE BĀRDULE,0,574
281,LIEPĀJA,3012800408,Liepājas Katoļu pamatskola,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"PELDU IELA 17, LIEPĀJA, LV-3401",pamatskola@inbox.lv,"63427160, 29457320",IVETA KALNIŅA,0,163
282,LIEPĀJA,3012900937,Liepājas 3. pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"LAZARETES IELA 8, LIEPĀJA, LV-3402",3psk@liepaja.edu.lv,63456296,GAĻINA SKOROBOGATOVA,0,381
283,LIEPĀJA,3013900924,Liepājas 8. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"DUNIKAS IELA 9/11, LIEPĀJA, LV-3407",8vsk@liepaja.edu.lv,63484369,ANITA KUNCĪTE,0,789
284,LIEPĀJA,3013900925,J. Čakstes Liepājas pilsētas 10. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"ALEJAS IELA 16, LIEPĀJA, LV-3401",10vsk@liepaja.edu.lv,"63424489,63424300,63423304",INTA FREIBERGA,0,832
285,LIEPĀJA,3013900931,Oskara Kalpaka Liepājas 15. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"OSKARA KALPAKA IELA 96, LIEPĀJA, LV-3405",15vsk@liepaja.edu.lv,63442024,GINTS ROČĀNS,0,971
286,LIEPĀJA,3013900932,Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"RĪGAS IELA 50, LIEPĀJA, LV-3401",5vsk@liepaja.edu.lv,63423551,INTA KORŅĒJEVA,0,1184
287,LIEPĀJA,3013900933,Liepājas Raiņa 6. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"GANĪBU IELA 106, LIEPĀJA, LV-3411",6vsk@liepaja.edu.lv,63484344,KĀRLIS STRAUTIŅŠ,0,669
288,LIEPĀJA,3013900934,Liepājas 7. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"CELMU IELA 6, LIEPĀJA, LV-3405",7vsk@liepaja.edu.lv,63442710,INESE FERSTERE,0,742
289,LIEPĀJA,3013903300,Liepājas Liedaga vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"LIEDAGA IELA 5, LIEPĀJA, LV-3416",liedagavsk@liepaja.edu.lv,63489136,INGA ZEIDE,0,1002
290,LIEPĀJA,3019902788,Liepājas Valsts 1. ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Valsts ģimnāzija,"AUSEKĻA IELA 9, LIEPĀJA, LV-3401",1gim@liepaja.edu.lv,63423461,HELVIJS VALCIS,0,683
291,LIEPĀJA,3024903267,"""Liepājas Līvupes pamatskola - attīstības centrs""",Pašvaldība ,Speciālās izglītības iestāde,Internātskola - attīstības centrs,"ULIHA IELA 56, LIEPĀJA, LV-3401",livupe@liepaja.edu.lv,63422874,SARMĪTE SIDOROVA,16,208
292,LIMBAŽU NOVADS,4312900167,Lādezera pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 1, LĀDEZERS, LIMBAŽU PAGASTS, LIMBAŽU NOVADS, LV-4011",ladezera_ps@limbazi.lv,64071277 64071269 64071276,TAIGA PLITNIECE,52,102
293,LIMBAŽU NOVADS,4312900171,Pāles pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLOTĀJU IELA 4, PĀLE, PĀLES PAGASTS, LIMBAŽU NOVADS, LV-4052",pales_ps@limbazi.lv,64031810,ILZE ŠMATE,29,73
294,LIMBAŽU NOVADS,4312900175,Umurgas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 3, UMURGA, UMURGAS PAGASTS, LIMBAŽU NOVADS, LV-4004",umurgas_ps@limbazi.lv,64070255,VALENTĪNA OZOLA,79,99
295,LIMBAŽU NOVADS,4312900176,Vidrižu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 5, VIDRIŽI, VIDRIŽU PAGASTS, LIMBAŽU NOVADS, LV-4013",vidrizu_ps@limbazi.lv,64062225,INA SIDJUKINA,68,59
296,LIMBAŽU NOVADS,4312900178,Baumaņu Kārļa Viļķenes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Viļķenes skola"", VIĻĶENE, VIĻĶENES PAGASTS, LIMBAŽU NOVADS, LV-4050",vilkenes_ps@limbazi.lv,64063216,ILZE ĀDAMSONE,44,54
297,LIMBAŽU NOVADS,4313901881,Limbažu vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"PARKA IELA 38, LIMBAŽI, LIMBAŽU NOVADS, LV-4001",vidusskola@limbazi.lv,64070860,ZIEDONIS RUBEZIS,0,502
298,LIMBAŽU NOVADS,4319903385,Limbažu Valsts ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Valsts ģimnāzija,"RĪGAS IELA 28, LIMBAŽI, LIMBAŽU NOVADS, LV-4001",gimnazija@limbazi.lv,"64070698, 28620704",GUNTA LĀCE,0,662
299,LIMBAŽU NOVADS,4322900181,Limbažu novada speciālā pamatskola,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"""Katvaru skola"", KATVARU PAGASTS, LIMBAŽU NOVADS, LV-4061",katvaru_intpsk@limbazi.lv,"29327986, 28665273",AGIJA STRAUME,7,46
300,LĪGATNES NOVADS,4411903221,Augšlīgatnes Jaunā sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"UPES IELA 2, AUGŠLĪGATNE, LĪGATNES PAGASTS, LĪGATNES NOVADS, LV-4108",jaunaskola@ligatne.lv,25725353,SANITA UNGURA,0,50
301,LĪGATNES NOVADS,4413900337,Jauno Līderu vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"STRAUTU IELA 4, LĪGATNE, LĪGATNES NOVADS, LV-4110",skola@lnv.lv,29418605,SAIVA VĪTOLA,0,141
302,LĪVĀNU NOVADS,4212900365,Jersikas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 2, JERSIKA, JERSIKAS PAGASTS, LĪVĀNU NOVADS, LV-5315",jersikaspsk@livani.lv,65307196,INESE JAUNUŠĀNE,15,89
303,LĪVĀNU NOVADS,4212900366,Jaunsilavas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"JAUNSILAVAS IELA 1, JAUNSILAVAS, TURKU PAGASTS, LĪVĀNU NOVADS, LV-5316",jaunsilavaspsk@livani.lv,65300804,JANĪNA USĀRE,52,113
304,LĪVĀNU NOVADS,4212900368,Rožupes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 2, ROŽUPE, ROŽUPES PAGASTS, LĪVĀNU NOVADS, LV-5327",rozupespsk@livani.lv,65381310,SANITA DUBOVSKA,26,80
305,LĪVĀNU NOVADS,4213900374,Līvānu 1. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"RĪGAS IELA 101, LĪVĀNI, LĪVĀNU NOVADS, LV-5316",livanu1vsk@livani.lv,65307200,GATIS PASTARS,31,510
306,LĪVĀNU NOVADS,4213900378,Rudzātu vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"MIERA IELA 13, RUDZĀTI, RUDZĀTU PAGASTS, LĪVĀNU NOVADS, LV-5328",rudzatuvsk@livani.lv,65326331,VALENTĪNA VAIVODE,29,167
307,LĪVĀNU NOVADS,4213900387,Līvānu 2. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"RĪGAS IELA 113/117, LĪVĀNI, LĪVĀNU NOVADS, LV-5316",livanu2vsk@livani.lv,65307660,KLAVDIJA DAUKŠTE,10,182
308,LĪVĀNU NOVADS,4220900355,Rudzātu speciālā pamatskola,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"""Skola"", LŪZENIEKI, RUDZĀTU PAGASTS, LĪVĀNU NOVADS, LV-5328",rudzatuintpsk@livani.lv,65326355,EDGARS VAIVODS,3,43
309,LUBĀNAS NOVADS,4412900115,Meirānu Kalpaka pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"  ""Skola"", MEIRĀNI, INDRĀNU PAGASTS, LUBĀNAS NOVADS, LV-4826",meirani1@inbox.lv,64829636,LANA KUNCE,9,23
310,LUBĀNAS NOVADS,4413900130,Lubānas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"KRASTA IELA 6, LUBĀNA, LUBĀNAS NOVADS, LV-4830",lubana.skola@lubana.lv,64860863,IVETA PEILĀNE,0,164
311,LUDZAS NOVADS,4212900453,Pildas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Skola"", PILDA, PILDAS PAGASTS, LUDZAS NOVADS, LV-5733",pilda.skola@ludza.lv,65728202,JURIJS ZEĻČS,0,71
312,LUDZAS NOVADS,4212900459,Ludzas Mūzikas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"STACIJAS IELA 45, LUDZA, LUDZAS NOVADS, LV-5701",muzskola.ludza@inbox.lv,65781334,LOLITA GREITĀNE,0,83
313,LUDZAS NOVADS,4213900475,Ludzas 2. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"P. MIGLINĪKA IELA 34A, LUDZA, LUDZAS NOVADS, LV-5701",lvs@ludza.lv,"65724539, 65723840",ZINAĪDA BULIGA,0,518
314,LUDZAS NOVADS,4216900471,Ludzas pilsētas ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Ģimnāzija,"BLAUMAŅA IELA 4, LUDZA, LUDZAS NOVADS, LV-5701",lpg@ludza.lv,65707035,ANDRIS JOKSTS,0,507
315,MADONAS NOVADS,4412802815,Kristiāna Dāvida pamatskola,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""KALNA SKOLA"", BARKAVAS PAGASTS, MADONAS NOVADS, LV-4834",ch.davidschool@gmail.com,26557988,AELITA KAULAČA,0,22
316,MADONAS NOVADS,4412900106,Vestienas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Vestienas muiža"", VESTIENA, VESTIENAS PAGASTS, MADONAS NOVADS, LV-4855",vestienassk@madona.lv,28803078,VERA GUTĀNE,24,36
317,MADONAS NOVADS,4412900111,Praulienas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Pilsdārzi"", PRAULIENA, PRAULIENAS PAGASTS, MADONAS NOVADS, LV-4825",praulienasskola@madona.lv,64807112 64860603,GUNA RUĻUKA,0,95
318,MADONAS NOVADS,4412900117,Liezēres pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"JAUNATNES IELA 6, OZOLI, LIEZĒRES PAGASTS, MADONAS NOVADS, LV-4884",liezeresskola@madona.lv,64807160,JOLANTA STEPIŅA,44,64
319,MADONAS NOVADS,4412900119,Lazdonas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Jurģkalni"", LAZDONA, LAZDONAS PAGASTS, MADONAS NOVADS, LV-4824",lazdonasskola@madona.lv,64807460,INESE JUHNOVIČA,17,50
320,MADONAS NOVADS,4412900120,Kusas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 3, KUSA, ARONAS PAGASTS, MADONAS NOVADS, LV-4847",kusasskola@madona.lv,64829855,AGRIS SĀRS,0,66
321,MADONAS NOVADS,4412900122,Kalsnavas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"VESETAS IELA 6, JAUNKALSNAVA, KALSNAVAS PAGASTS, MADONAS NOVADS, LV-4860",kalsnavasskola@madona.lv,"64807639, 64807640",GUNTA LAPSA,0,101
322,MADONAS NOVADS,4412900123,Dzelzavas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"Dzelzavas pils, DZELZAVA, DZELZAVAS PAGASTS, MADONAS NOVADS, LV-4873",dzelzsk@madona.lv,64852086,INDRA ZUKURE,0,78
323,MADONAS NOVADS,4412900124,Degumnieku pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 13, DEGUMNIEKI, OŠUPES PAGASTS, MADONAS NOVADS, LV-4833",degumniekupsk@madona.lv,64829617,DAIGA RUBENE,31,61
324,MADONAS NOVADS,4412900125,Bērzaunes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Bērzaunes pamatskola"", BĒRZAUNE, BĒRZAUNES PAGASTS, MADONAS NOVADS, LV-4853",berzaunesskola@madona.lv,64825256,ILGA GAILUMA,0,94
325,MADONAS NOVADS,4412900126,Barkavas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 1, BARKAVA, BARKAVAS PAGASTS, MADONAS NOVADS, LV-4834",barkava.skola@madona.lv,64825540,NORMUNDS DZELME,60,97
326,MADONAS NOVADS,4413900129,Andreja Eglīša Ļaudonas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SKOLAS IELA 2, ĻAUDONA, ĻAUDONAS PAGASTS, MADONAS NOVADS, LV-4862",laudonasskola@madona.lv,26532395,GUNTIS LAZDA,0,158
327,MADONAS NOVADS,4413903190,Madonas pilsētas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"VALDEMĀRA BULVĀRIS 6, MADONA, MADONAS NOVADS, LV-4801",vidusskola@madona.lv,"64807546, 29475731",INESE STRODE,0,976
328,MADONAS NOVADS,4419902408,Madonas Valsts ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Valsts ģimnāzija,"VALDEMĀRA BULVĀRIS 2A, MADONA, MADONAS NOVADS, LV-4801",mvg@madona.lv,64807648,VANDA MADERNIECE,0,265
329,MADONAS NOVADS,4422900104,Dzelzavas speciālā pamatskola,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"KĻAVU IELA 2, DZELZAVA, DZELZAVAS PAGASTS, MADONAS NOVADS, LV-4873",anita.sk@madona.lv,64852049,ANITA DADZE,8,40
330,MAZSALACAS NOVADS,4413903126,Mazsalacas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"""Parka 30"", MAZSALACAS PAGASTS, MAZSALACAS NOVADS, LV-4215",mazsalaca.dome@mazsalacasnovads.lv,29269671,ZAIGA IVANA,0,254
331,MĀLPILS NOVADS,4313902967,Mālpils novada vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SPORTA IELA 1, MĀLPILS, MĀLPILS NOVADS, LV-2152",vidusskola@malpils.lv,67925340,JEĻENA CAUNE,0,335
332,MĀRUPES NOVADS,4311802957,Privātā Montessori sākumskola,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"STĪPNIEKU CEĻŠ 7B, MĀRUPE, MĀRUPES NOVADS, LV-2167",mazulitisru@mazulitisru.lv,26137396,INETA KALNIŅA,0,16
333,MĀRUPES NOVADS,4311902782,Mārupes novada Skultes sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"SKULTES IELA 25, SKULTE, MĀRUPES NOVADS, LV-2108",skultes.sakumskola@inbox.lv,67915276,HALYNA GRIZANE,101,46
334,MĀRUPES NOVADS,4312802956,"Pamatskola ""Brīvā Māras skola""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Draugi"", MĀRUPES NOVADS, LV-2166",info@marasskola.lv,29682468,ULDIS MĪDERIS,53,46
335,MĀRUPES NOVADS,4312901121,Mārupes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"VISKALNU IELA 7, TĪRAINE, MĀRUPES NOVADS, LV-2167",skola@marupespamatsk.lv,"67148306, 67912629",SIGITA SAKOVIČA,104,678
336,MĀRUPES NOVADS,4312903031,Jaunmārupes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"MAZCENU ALEJA 4A, JAUNMĀRUPE, MĀRUPES NOVADS, LV-2166",jmsk@inbox.lv,67933594,IVETA TIMULE,167,881
337,MĀRUPES NOVADS,4319903318,Mārupes Valsts ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Valsts ģimnāzija,"KANTORA IELA 97, MĀRUPE, MĀRUPES NOVADS, LV-2167",marupes.gimnazija@marupe.lv ,67934372,JĀNIS LAGZDKALNS,0,1411
338,MĒRSRAGA NOVADS,4113900624,Mērsraga vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SKOLAS IELA 8, MĒRSRAGS, MĒRSRAGA NOVADS, LV-3284",mersragskola@inbox.lv,63237841,ILZE INDRUŠKEVIČA,0,141
339,NAUKŠĒNU NOVADS,4413902802,Naukšēnu novada vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"""Naukšēnu vidusskola"", NAUKŠĒNI, NAUKŠĒNU PAGASTS, NAUKŠĒNU NOVADS, LV-4244",skola@naukseni.lv,"64268830, 64268750",AIGA STIERE,59,165
340,NAUKŠĒNU NOVADS,4418000073,"Sociālās korekcijas izglītības iestāde ""Naukšēni""",Izglītības un zinātnes ministrija,Vispārējās izglītības iestāde,Sociālās korekcijas iestāde,"""Naukšēnu muiža"", NAUKŠĒNI, NAUKŠĒNU PAGASTS, NAUKŠĒNU NOVADS, LV-4244",info@skiinaukseni.lv,64268154,DIDZIS ČĀKURS,0,23
341,NERETAS NOVADS,4512900978,Mazzalves pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 1, ĒRBERĢE, MAZZALVES PAGASTS, NERETAS NOVADS, LV-5133",mazzalves.pamatskola@gmail.com,65175239,AIVARS MIEZĪTIS,40,66
342,NERETAS NOVADS,4513900971,Neretas Jāņa Jaunsudrabiņa vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"DZIRNAVU IELA 4, NERETA, NERETAS PAGASTS, NERETAS NOVADS, LV-5118",skola@nereta.lv,"65176504, 65176239",VIKTORIJA TRUKŠA,0,161
343,NĪCAS NOVADS,4113900998,Nīcas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SKOLAS IELA 14, NĪCA, NĪCAS PAGASTS, NĪCAS NOVADS, LV-3473",vidusskola@nica.lv,63469078,LĀSMA PETERMANE,0,317
344,OGRES NOVADS,4311900200,Ogres sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"MEŽA PROSPEKTS 14/1, OGRE, OGRES NOVADS, LV-5001",skola@ogressakumskola.lv,65044521,MĀRA BANKA,0,755
345,OGRES NOVADS,4312803352,"Pamatskola ""Ogres Baltā skola""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"BRĪVĪBAS IELA 30, OGRE, OGRES NOVADS, LV-5001",info@baltaskola.lv,29149533,EVIJA RUDZĪTE,10,3
346,OGRES NOVADS,4312900194,Ogresgala pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"NĀKOTNES IELA 4, OGRESGALS, OGRESGALA PAGASTS, OGRES NOVADS, LV-5041",ogrgalskola@ogresnovads.lv,"65035160, 65035250",SKAIDRĪTE BUTĀNE,0,158
347,OGRES NOVADS,4312900196,Ķeipenes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"ZIEDU IELA 3, ĶEIPENE, ĶEIPENES PAGASTS, OGRES NOVADS, LV-5062",keipenessk@ogresnovads.lv,65033695,AGNESE LEPSE,40,66
348,OGRES NOVADS,4312902972,Taurupes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Taurupes vidusskola"", TAURUPE, TAURUPES PAGASTS, OGRES NOVADS, LV-5064",taurupessk@ogresnovads.lv,"65031319, 65031306",LONIJA PUŠMUCĀNE,41,98
349,OGRES NOVADS,4313900187,Suntažu vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"""Suntažu vidusskola"", SUNTAŽI, SUNTAŽU PAGASTS, OGRES NOVADS, LV-5060",suntazi_vsk@ogresnovads.lv,"65037319, 65035796, 65035792, 65037322",MĀRTIŅŠ LEJA,113,226
350,OGRES NOVADS,4313900188,Madlienas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"""Skola"", MADLIENA, MADLIENAS PAGASTS, OGRES NOVADS, LV-5045",madlienasvidusskola@ogresnovads.lv,"65039158, 65039106",EDGARS VIŅĶIS,0,206
